url,storeName,storeNumber,city,state,zip,googleMatchCount
https://www.homedepot.com/l/Lilburn/GA/Lilburn/30047/110,Lilburn,110,Lilburn,GA,30047,2
https://www.homedepot.com/l/Lindon/UT/Lindon/84042/4407,Lindon,4407,Lindon,UT,84042,2
https://www.homedepot.com/l/Littleton/CO/Littleton/80123/1519,Littleton,1519,Littleton,CO,80123,2
https://www.homedepot.com/l/Long-Beach/CA/Signal-Hill/90755/1062,Long Beach,1062,Signal Hill,CA,90755,2
https://www.homedepot.com/l/Los-Lunas/NM/Los-Lunas/87031/3511,Los Lunas,3511,Los Lunas,NM,87031,2
https://www.homedepot.com/l/Manchester-Road/MO/Ballwin/63011/3004,Manchester Road,3004,Ballwin,MO,63011,4
https://www.homedepot.com/l/Mcallen/TX/Pharr/78577/506,Mcallen,506,Pharr,TX,78577,3
https://www.homedepot.com/l/Mcdonough/GA/Mcdonough/30253/157,Mcdonough,157,Mcdonough,GA,30253,2
https://www.homedepot.com/l/Menomonee-Falls/WI/Menomonee-Falls/53051/4940,Menomonee Falls,4940,Menomonee Falls,WI,53051,2
https://www.homedepot.com/l/Middletown/DE/Middletown/19709/6843,Middletown,6843,Middletown,DE,19709,2
https://www.homedepot.com/l/Midtown-Kansas-City/MO/Kansas-City/64111/3021,Midtown Kansas City,3021,Kansas City,MO,64111,2
https://www.homedepot.com/l/Military/TX/San-Antonio/78224/6529,Military,6529,San Antonio,TX,78224,2
https://www.homedepot.com/l/Montano/NM/Albuquerque/87107/3502,Montano,3502,Albuquerque,NM,87107,2
https://www.homedepot.com/l/Montgomery/AL/Montgomery/36117/883,Montgomery,883,Montgomery,AL,36117,3
https://www.homedepot.com/l/Murfreesboro/TN/Murfreesboro/37129/707,Murfreesboro,707,Murfreesboro,TN,37129,2
https://www.homedepot.com/l/N-Brownsville/TX/Brownsville/78520/6984,N Brownsville,6984,Brownsville,TX,78520,2
https://www.homedepot.com/l/N-Kingstown/RI/North-Kingstown/02852/4283,N Kingstown,4283,North Kingstown,RI,02852,2
https://www.homedepot.com/l/N-Miami-Biscayne/FL/Miami/33181/6322,N Miami Biscayne,6322,Miami,FL,33181,2
https://www.homedepot.com/l/N-Oklahoma-City/OK/Oklahoma-City/73112/3902,N Oklahoma City,3902,Oklahoma City,OK,73112,2
