url,storeName,storeNumber,city,state,zip
https://www.homedepot.com/l/Murrells-Inlet/SC/Murrells-Inlet/29576/1122,Murrells Inlet,1122,Murrells Inlet,SC,29576
https://www.homedepot.com/l/Murrieta-North/CA/Murrieta/92562/6113,Murrieta North,6113,Murrieta,CA,92562
https://www.homedepot.com/l/Murrieta/CA/Murrieta/92562/668,Murrieta,668,Murrieta,CA,92562
https://www.homedepot.com/l/Myrtle-Beach/SC/Myrtle-Beach/29577/1116,Myrtle Beach,1116,Myrtle Beach,SC,29577
https://www.homedepot.com/l/Myrtle-Grove/NC/Wilmington/28412/3609,Myrtle Grove,3609,Wilmington,NC,28412
https://www.homedepot.com/l/NE-Bakersfield/CA/Bakersfield/93306/1060,NE Bakersfield,1060,Bakersfield,CA,93306
https://www.homedepot.com/l/NW-Bakersfield/CA/Bakersfield/93312/1064,NW Bakersfield,1064,Bakersfield,CA,93312
https://www.homedepot.com/l/NW-Victorville/CA/Victorville/92394/1844,NW Victorville,1844,Victorville,CA,92394
https://www.homedepot.com/l/Naples/FL/Naples/34109/280,Naples,280,Naples,FL,34109
https://www.homedepot.com/l/New-Albany/IN/New-Albany/47150/2016,New Albany,2016,New Albany,IN,47150
https://www.homedepot.com/l/Newhall/CA/Santa-Clarita/91355/1055,Newhall,1055,Santa Clarita,CA,91355
https://www.homedepot.com/l/Newport-News/VA/Newport-News/23602/4613,Newport News,4613,Newport News,VA,23602
https://www.homedepot.com/l/Newton/NJ/Newton/07860/984,Newton,984,Newton,NJ,07860
https://www.homedepot.com/l/Niagara-Falls/NY/Niagara-Falls/14304/1287,Niagara Falls,1287,Niagara Falls,NY,14304
https://www.homedepot.com/l/Niles/OH/Warren/44484/3808,Niles,3808,Warren,OH,44484
https://www.homedepot.com/l/North-Buffalo/NY/Buffalo/14207/1234,North Buffalo,1234,Buffalo,NY,14207
https://www.homedepot.com/l/North-Fayette/PA/Pittsburgh/15275/4117,North Fayette,4117,Pittsburgh,PA,15275
https://www.homedepot.com/l/North-Flint/MI/Flushing/48433/2765,North Flint,2765,Flushing,MI,48433
https://www.homedepot.com/l/North-Fontana/CA/Fontana/92336/6960,North Fontana,6960,Fontana,CA,92336
https://www.homedepot.com/l/North-Frisco/TX/Frisco/75033/6513,North Frisco,6513,Frisco,TX,75033
https://www.homedepot.com/l/North-Greenbush/NY/Rensselaer/12144/1263,North Greenbush,1263,Rensselaer,NY,12144
https://www.homedepot.com/l/North-Greenville/SC/Greenville/29609/1104,North Greenville,1104,Greenville,SC,29609
https://www.homedepot.com/l/North-Jacksonville/FL/Jacksonville/32218/6351,North Jacksonville,6351,Jacksonville,FL,32218
https://www.homedepot.com/l/North-Knoxville/TN/Knoxville/37921/728,North Knoxville,728,Knoxville,TN,37921
